ID,sex,diet,ageatdeath_w,P_kJ.g,C_kJ.g,F_kJ.g,p_P,p_C,p_F
6_1,F,SF09-049,NA,0.4,1.6,6,5,20,75
6_2,F,SF09-049,NA,0.4,1.6,6,5,20,75
6_3,F,SF09-049,NA,0.4,1.6,6,5,20,75
7_1,M,SF09-052,134,2.64,3.84,1.6,33,48,20
7_2,M,SF09-052,NA,2.64,3.84,1.6,33,48,20
7_3,M,SF09-052,133,2.64,3.84,1.6,33,48,20
8_1,F,SF09-052,132,2.64,3.84,1.6,33,48,20
8_2,F,SF09-052,NA,2.64,3.84,1.6,33,48,20
8_3,F,SF09-052,134,2.64,3.84,1.6,33,48,20
9_1,M,SF09-055,40,2.64,1.6,3.84,33,20,48
9_2,M,SF09-055,NA,2.64,1.6,3.84,33,20,48
9_3,M,SF09-055,84,2.64,1.6,3.84,33,20,48
10_1,F,SF09-055,91,2.64,1.6,3.84,33,20,48
10_2,F,SF09-055,NA,2.64,1.6,3.84,33,20,48
10_3,F,SF09-055,97,2.64,1.6,3.84,33,20,48
11_1,M,SF09-058,NA,0.4,3.84,3.84,5,48,48
11_2,M,SF09-058,NA,0.4,3.84,3.84,5,48,48
11_3,M,SF09-058,NA,0.4,3.84,3.84,5,48,48
12_1,F,SF09-058,NA,0.4,3.84,3.84,5,48,48
12_2,F,SF09-058,NA,0.4,3.84,3.84,5,48,48
12_3,F,SF09-058,NA,0.4,3.84,3.84,5,48,48
13_1,M,SF09-061,105,1.12,2.32,4.56,14,29,57
13_2,M,SF09-061,NA,1.12,2.32,4.56,14,29,57
13_3,M,SF09-061,99,1.12,2.32,4.56,14,29,57
14_1,F,SF09-061,105,1.12,2.32,4.56,14,29,57
14_2,F,SF09-061,NA,1.12,2.32,4.56,14,29,57
14_3,F,SF09-061,109,1.12,2.32,4.56,14,29,57
15_1,M,SF09-064,NA,1.12,4.56,2.32,14,57,29
15_2,M,SF09-064,50,1.12,4.56,2.32,14,57,29
15_3,M,SF09-064,106,1.12,4.56,2.32,14,57,29
16_1,F,SF09-064,111,1.12,4.56,2.32,14,57,29
16_2,F,SF09-064,NA,1.12,4.56,2.32,14,57,29
16_3,F,SF09-064,103,1.12,4.56,2.32,14,57,29
17_1,M,SF09-067,103,3.36,2.32,2.32,42,29,29
17_2,M,SF09-067,34,3.36,2.32,2.32,42,29,29
17_3,M,SF09-067,105,3.36,2.32,2.32,42,29,29
18_1,F,SF09-067,86,3.36,2.32,2.32,42,29,29
18_2,F,SF09-067,NA,3.36,2.32,2.32,42,29,29
18_3,F,SF09-067,102,3.36,2.32,2.32,42,29,29
19_1,M,SF09-070,99,1.84,3.04,3.04,23,38,38
19_2,M,SF09-070,51,1.84,3.04,3.04,23,38,38
19_3,M,SF09-070,96,1.84,3.04,3.04,23,38,38
20_1,F,SF09-070,100,1.84,3.04,3.04,23,38,38
20_2,F,SF09-070,NA,1.84,3.04,3.04,23,38,38
20_3,F,SF09-070,95,1.84,3.04,3.04,23,38,38
21_1,M,SF09-044,NA,7.8,2.6,2.6,60,20,20
21_2,M,SF09-044,NA,7.8,2.6,2.6,60,20,20
21_3,M,SF09-044,129,7.8,2.6,2.6,60,20,20
22_1,F,SF09-044,96,7.8,2.6,2.6,60,20,20
22_2,F,SF09-044,NA,7.8,2.6,2.6,60,20,20
22_3,F,SF09-044,120,7.8,2.6,2.6,60,20,20
23_1,M,SF09-047,139,0.65,9.75,2.6,5,75,20
23_2,M,SF09-047,102,0.65,9.75,2.6,5,75,20
23_3,M,SF09-047,27,0.65,9.75,2.6,5,75,20
24_1,F,SF09-047,103,0.65,9.75,2.6,5,75,20
24_2,F,SF09-047,NA,0.65,9.75,2.6,5,75,20
24_3,F,SF09-047,131,0.65,9.75,2.6,5,75,20
25_1,M,SF09-050,NA,0.65,2.6,9.75,5,20,75
25_2,M,SF09-050,NA,0.65,2.6,9.75,5,20,75
25_3,M,SF09-050,NA,0.65,2.6,9.75,5,20,75
26_1,F,SF09-050,NA,0.65,2.6,9.75,5,20,75
26_2,F,SF09-050,NA,0.65,2.6,9.75,5,20,75
26_3,F,SF09-050,NA,0.65,2.6,9.75,5,20,75
27_1,M,SF09-053,82,4.29,6.24,2.6,33,48,20
27_2,M,SF09-053,NA,4.29,6.24,2.6,33,48,20
27_3,M,SF09-053,133,4.29,6.24,2.6,33,48,20
28_1,F,SF09-053,140,4.29,6.24,2.6,33,48,20
28_2,F,SF09-053,NA,4.29,6.24,2.6,33,48,20
28_3,F,SF09-053,133,4.29,6.24,2.6,33,48,20
29_1,M,SF09-056,117,4.29,2.6,6.24,33,20,48
29_2,M,SF09-056,NA,4.29,2.6,6.24,33,20,48
29_3,M,SF09-056,107,4.29,2.6,6.24,33,20,48
30_1,F,SF09-056,109,4.29,2.6,6.24,33,20,48
30_2,F,SF09-056,NA,4.29,2.6,6.24,33,20,48
30_3,F,SF09-056,103,4.29,2.6,6.24,33,20,48
31_1,M,SF09-059,NA,0.65,6.24,6.24,5,48,48
31_2,M,SF09-059,NA,0.65,6.24,6.24,5,48,48
31_3,M,SF09-059,NA,0.65,6.24,6.24,5,48,48
32_1,F,SF09-059,NA,0.65,6.24,6.24,5,48,48
32_2,F,SF09-059,NA,0.65,6.24,6.24,5,48,48
32_3,F,SF09-059,NA,0.65,6.24,6.24,5,48,48
33_1,M,SF09-062,122,1.82,3.77,7.41,14,29,57
33_2,M,SF09-062,NA,1.82,3.77,7.41,14,29,57
33_3,M,SF09-062,127,1.82,3.77,7.41,14,29,57
34_1,F,SF09-062,58,1.82,3.77,7.41,14,29,57
34_2,F,SF09-062,119,1.82,3.77,7.41,14,29,57
34_3,F,SF09-062,115,1.82,3.77,7.41,14,29,57
35_1,M,SF09-065,154,1.82,7.41,3.77,14,57,29
35_2,M,SF09-065,NA,1.82,7.41,3.77,14,57,29
35_3,M,SF09-065,131,1.82,7.41,3.77,14,57,29
36_1,F,SF09-065,117,1.82,7.41,3.77,14,57,29
36_2,F,SF09-065,NA,1.82,7.41,3.77,14,57,29
36_3,F,SF09-065,NA,1.82,7.41,3.77,14,57,29
37_1,M,SF09-068,143,5.46,3.77,3.77,42,29,29
37_2,M,SF09-068,NA,5.46,3.77,3.77,42,29,29
37_3,M,SF09-068,132,5.46,3.77,3.77,42,29,29
38_1,F,SF09-068,103,5.46,3.77,3.77,42,29,29
38_2,F,SF09-068,NA,5.46,3.77,3.77,42,29,29
38_3,F,SF09-068,104,5.46,3.77,3.77,42,29,29
39_1,M,SF09-071,103,2.99,4.94,4.94,23,38,38
39_2,M,SF09-071,NA,2.99,4.94,4.94,23,38,38
39_3,M,SF09-071,104,2.99,4.94,4.94,23,38,38
40_1,F,SF09-071,126,2.99,4.94,4.94,23,38,38
40_2,F,SF09-071,NA,2.99,4.94,4.94,23,38,38
40_3,F,SF09-071,144,2.99,4.94,4.94,23,38,38
41_1,M,SF09-045,128,10.2,3.4,3.4,60,20,20
41_2,M,SF09-045,NA,10.2,3.4,3.4,60,20,20
41_3,M,SF09-045,127,10.2,3.4,3.4,60,20,20
42_1,F,SF09-045,86,10.2,3.4,3.4,60,20,20
42_2,F,SF09-045,NA,10.2,3.4,3.4,60,20,20
42_3,F,SF09-045,96,10.2,3.4,3.4,60,20,20
43_1,M,SF09-048,126,0.85,12.75,3.4,5,75,20
43_2,M,SF09-048,NA,0.85,12.75,3.4,5,75,20
43_3,M,SF09-048,84,0.85,12.75,3.4,5,75,20
44_1,F,SF09-048,119,0.85,12.75,3.4,5,75,20
44_2,F,SF09-048,NA,0.85,12.75,3.4,5,75,20
44_3,F,SF09-048,121,0.85,12.75,3.4,5,75,20
45_1,M,SF09-051,110,0.85,3.4,12.75,5,20,75
45_2,M,SF09-051,NA,0.85,3.4,12.75,5,20,75
45_3,M,SF09-051,96,0.85,3.4,12.75,5,20,75
46_1,F,SF09-051,131,0.85,3.4,12.75,5,20,75
46_2,F,SF09-051,NA,0.85,3.4,12.75,5,20,75
46_3,F,SF09-051,106,0.85,3.4,12.75,5,20,75
47_1,M,SF09-054,140,5.61,8.16,3.4,33,48,20
47_2,M,SF09-054,NA,5.61,8.16,3.4,33,48,20
47_3,M,SF09-054,118,5.61,8.16,3.4,33,48,20
48_1,F,SF09-054,98,5.61,8.16,3.4,33,48,20
48_2,F,SF09-054,NA,5.61,8.16,3.4,33,48,20
48_3,F,SF09-054,NA,5.61,8.16,3.4,33,48,20
49_1,M,SF09-057,122,5.61,3.4,8.16,33,20,48
49_2,M,SF09-057,NA,5.61,3.4,8.16,33,20,48
49_3,M,SF09-057,102,5.61,3.4,8.16,33,20,48
50_1,F,SF09-057,109,5.61,3.4,8.16,33,20,48
50_2,F,SF09-057,NA,5.61,3.4,8.16,33,20,48
50_3,F,SF09-057,107,5.61,3.4,8.16,33,20,48
51_1,M,SF09-060,147,0.85,8.16,8.16,5,48,48
51_2,M,SF09-060,128,0.85,8.16,8.16,5,48,48
51_3,M,SF09-060,12,0.85,8.16,8.16,5,48,48
52_1,F,SF09-060,122,0.85,8.16,8.16,5,48,48
52_2,F,SF09-060,NA,0.85,8.16,8.16,5,48,48
52_3,F,SF09-060,119,0.85,8.16,8.16,5,48,48
53_1,M,SF09-063,NA,2.38,4.93,9.69,14,29,57
53_2,M,SF09-063,20,2.38,4.93,9.69,14,29,57
53_3,M,SF09-063,122,2.38,4.93,9.69,14,29,57
54_1,F,SF09-063,108,2.38,4.93,9.69,14,29,57
54_2,F,SF09-063,NA,2.38,4.93,9.69,14,29,57
54_3,F,SF09-063,103,2.38,4.93,9.69,14,29,57
55_1,M,SF09-066,NA,2.38,9.69,4.93,14,57,29
55_2,M,SF09-066,NA,2.38,9.69,4.93,14,57,29
55_3,M,SF09-066,90,2.38,9.69,4.93,14,57,29
56_1,F,SF09-066,128,2.38,9.69,4.93,14,57,29
56_2,F,SF09-066,NA,2.38,9.69,4.93,14,57,29
56_3,F,SF09-066,117,2.38,9.69,4.93,14,57,29
57_1,M,SF09-069,150,7.14,4.93,4.93,42,29,29
57_2,M,SF09-069,NA,7.14,4.93,4.93,42,29,29
57_3,M,SF09-069,135,7.14,4.93,4.93,42,29,29
58_1,F,SF09-069,106,7.14,4.93,4.93,42,29,29
58_2,F,SF09-069,110,7.14,4.93,4.93,42,29,29
58_3,F,SF09-069,20,7.14,4.93,4.93,42,29,29
59_1,M,SF09-072,85,3.91,6.46,6.46,23,38,38
59_2,M,SF09-072,NA,3.91,6.46,6.46,23,38,38
59_3,M,SF09-072,106,3.91,6.46,6.46,23,38,38
60_1,F,SF09-072,NA,3.91,6.46,6.46,23,38,38
60_2,F,SF09-072,102,3.91,6.46,6.46,23,38,38
60_3,F,SF09-072,103,3.91,6.46,6.46,23,38,38
61_1,M,SF09-043,82,4.8,1.6,1.6,60,20,20
61_2,M,SF09-043,NA,4.8,1.6,1.6,60,20,20
61_3,M,SF09-043,99,4.8,1.6,1.6,60,20,20
62_1,F,SF09-043,98,4.8,1.6,1.6,60,20,20
62_2,F,SF09-043,NA,4.8,1.6,1.6,60,20,20
62_3,F,SF09-043,99,4.8,1.6,1.6,60,20,20
63_1,M,SF09-046,NA,0.4,6,1.6,5,75,20
63_2,M,SF09-046,NA,0.4,6,1.6,5,75,20
63_3,M,SF09-046,NA,0.4,6,1.6,5,75,20
64_1,F,SF09-046,NA,0.4,6,1.6,5,75,20
64_2,F,SF09-046,NA,0.4,6,1.6,5,75,20
64_3,F,SF09-046,NA,0.4,6,1.6,5,75,20
65_1,M,SF09-049,NA,0.4,1.6,6,5,20,75
65_2,M,SF09-049,NA,0.4,1.6,6,5,20,75
65_3,M,SF09-049,NA,0.4,1.6,6,5,20,75
66_1,F,SF09-049,NA,0.4,1.6,6,5,20,75
66_2,F,SF09-049,NA,0.4,1.6,6,5,20,75
66_3,F,SF09-049,NA,0.4,1.6,6,5,20,75
67_1,M,SF09-052,NA,2.64,3.84,1.6,33,48,20
67_2,M,SF09-052,128,2.64,3.84,1.6,33,48,20
67_3,M,SF09-052,129,2.64,3.84,1.6,33,48,20
68_1,F,SF09-052,127,2.64,3.84,1.6,33,48,20
68_2,F,SF09-052,82,2.64,3.84,1.6,33,48,20
68_3,F,SF09-052,56,2.64,3.84,1.6,33,48,20
69_1,M,SF09-055,NA,2.64,1.6,3.84,33,20,48
69_2,M,SF09-055,79,2.64,1.6,3.84,33,20,48
69_3,M,SF09-055,60,2.64,1.6,3.84,33,20,48
70_1,F,SF09-055,94,2.64,1.6,3.84,33,20,48
70_2,F,SF09-055,NA,2.64,1.6,3.84,33,20,48
70_3,F,SF09-055,87,2.64,1.6,3.84,33,20,48
71_1,M,SF09-058,NA,0.4,3.84,3.84,5,48,48
71_2,M,SF09-058,NA,0.4,3.84,3.84,5,48,48
71_3,M,SF09-058,NA,0.4,3.84,3.84,5,48,48
72_1,F,SF09-058,NA,0.4,3.84,3.84,5,48,48
72_2,F,SF09-058,NA,0.4,3.84,3.84,5,48,48
72_3,F,SF09-058,NA,0.4,3.84,3.84,5,48,48
73_1,M,SF09-061,94,1.12,2.32,4.56,14,29,57
73_2,M,SF09-061,NA,1.12,2.32,4.56,14,29,57
73_3,M,SF09-061,NA,1.12,2.32,4.56,14,29,57
74_1,F,SF09-061,89,1.12,2.32,4.56,14,29,57
74_2,F,SF09-061,NA,1.12,2.32,4.56,14,29,57
74_3,F,SF09-061,85,1.12,2.32,4.56,14,29,57
75_1,M,SF09-064,NA,1.12,4.56,2.32,14,57,29
75_2,M,SF09-064,NA,1.12,4.56,2.32,14,57,29
75_3,M,SF09-064,102,1.12,4.56,2.32,14,57,29
76_1,F,SF09-064,104,1.12,4.56,2.32,14,57,29
76_2,F,SF09-064,NA,1.12,4.56,2.32,14,57,29
76_3,F,SF09-064,71,1.12,4.56,2.32,14,57,29
77_1,M,SF09-067,100,3.36,2.32,2.32,42,29,29
77_2,M,SF09-067,NA,3.36,2.32,2.32,42,29,29
77_3,M,SF09-067,92,3.36,2.32,2.32,42,29,29
78_1,F,SF09-067,86,3.36,2.32,2.32,42,29,29
78_2,F,SF09-067,71,3.36,2.32,2.32,42,29,29
78_3,F,SF09-067,58,3.36,2.32,2.32,42,29,29
79_1,M,SF09-070,78,1.84,3.04,3.04,23,38,38
79_2,M,SF09-070,NA,1.84,3.04,3.04,23,38,38
79_3,M,SF09-070,100,1.84,3.04,3.04,23,38,38
80_1,F,SF09-070,100,1.84,3.04,3.04,23,38,38
80_2,F,SF09-070,NA,1.84,3.04,3.04,23,38,38
80_3,F,SF09-070,92,1.84,3.04,3.04,23,38,38
81_1,M,SF09-044,127,7.8,2.6,2.6,60,20,20
81_2,M,SF09-044,NA,7.8,2.6,2.6,60,20,20
81_3,M,SF09-044,130,7.8,2.6,2.6,60,20,20
82_1,F,SF09-044,104,7.8,2.6,2.6,60,20,20
82_2,F,SF09-044,NA,7.8,2.6,2.6,60,20,20
82_3,F,SF09-044,NA,7.8,2.6,2.6,60,20,20
83_1,M,SF09-047,152,0.65,9.75,2.6,5,75,20
83_2,M,SF09-047,NA,0.65,9.75,2.6,5,75,20
83_3,M,SF09-047,144,0.65,9.75,2.6,5,75,20
84_1,F,SF09-047,131,0.65,9.75,2.6,5,75,20
84_2,F,SF09-047,NA,0.65,9.75,2.6,5,75,20
84_3,F,SF09-047,126,0.65,9.75,2.6,5,75,20
85_1,M,SF09-050,NA,0.65,2.6,9.75,5,20,75
85_2,M,SF09-050,NA,0.65,2.6,9.75,5,20,75
85_3,M,SF09-050,NA,0.65,2.6,9.75,5,20,75
86_1,F,SF09-050,NA,0.65,2.6,9.75,5,20,75
86_2,F,SF09-050,NA,0.65,2.6,9.75,5,20,75
86_3,F,SF09-050,NA,0.65,2.6,9.75,5,20,75
87_1,M,SF09-053,147,4.29,6.24,2.6,33,48,20
87_2,M,SF09-053,NA,4.29,6.24,2.6,33,48,20
87_3,M,SF09-053,111,4.29,6.24,2.6,33,48,20
88_1,F,SF09-053,134,4.29,6.24,2.6,33,48,20
88_2,F,SF09-053,NA,4.29,6.24,2.6,33,48,20
88_3,F,SF09-053,123,4.29,6.24,2.6,33,48,20
89_1,M,SF09-056,136,4.29,2.6,6.24,33,20,48
89_2,M,SF09-056,NA,4.29,2.6,6.24,33,20,48
89_3,M,SF09-056,129,4.29,2.6,6.24,33,20,48
90_1,F,SF09-056,NA,4.29,2.6,6.24,33,20,48
90_2,F,SF09-056,NA,4.29,2.6,6.24,33,20,48
90_3,F,SF09-056,106,4.29,2.6,6.24,33,20,48
91_1,M,SF09-059,NA,0.65,6.24,6.24,5,48,48
91_2,M,SF09-059,NA,0.65,6.24,6.24,5,48,48
91_3,M,SF09-059,NA,0.65,6.24,6.24,5,48,48
92_1,F,SF09-059,NA,0.65,6.24,6.24,5,48,48
92_2,F,SF09-059,NA,0.65,6.24,6.24,5,48,48
92_3,F,SF09-059,NA,0.65,6.24,6.24,5,48,48
93_1,M,SF09-062,121,1.82,3.77,7.41,14,29,57
93_2,M,SF09-062,NA,1.82,3.77,7.41,14,29,57
93_3,M,SF09-062,103,1.82,3.77,7.41,14,29,57
94_1,F,SF09-062,50,1.82,3.77,7.41,14,29,57
94_2,F,SF09-062,114,1.82,3.77,7.41,14,29,57
94_3,F,SF09-062,119,1.82,3.77,7.41,14,29,57
95_1,M,SF09-065,113,1.82,7.41,3.77,14,57,29
95_2,M,SF09-065,50,1.82,7.41,3.77,14,57,29
95_3,M,SF09-065,104,1.82,7.41,3.77,14,57,29
96_1,F,SF09-065,123,1.82,7.41,3.77,14,57,29
96_2,F,SF09-065,NA,1.82,7.41,3.77,14,57,29
96_3,F,SF09-065,149,1.82,7.41,3.77,14,57,29
97_1,M,SF09-068,83,5.46,3.77,3.77,42,29,29
97_2,M,SF09-068,NA,5.46,3.77,3.77,42,29,29
97_3,M,SF09-068,153,5.46,3.77,3.77,42,29,29
98_1,F,SF09-068,123,5.46,3.77,3.77,42,29,29
98_2,F,SF09-068,NA,5.46,3.77,3.77,42,29,29
98_3,F,SF09-068,142,5.46,3.77,3.77,42,29,29
99_1,M,SF09-071,142,2.99,4.94,4.94,23,38,38
99_2,M,SF09-071,NA,2.99,4.94,4.94,23,38,38
99_3,M,SF09-071,124,2.99,4.94,4.94,23,38,38
100_1,F,SF09-071,130,2.99,4.94,4.94,23,38,38
100_2,F,SF09-071,NA,2.99,4.94,4.94,23,38,38
100_3,F,SF09-071,99,2.99,4.94,4.94,23,38,38
301_1,M,STANDARD,NA,3.57,10.71,2.72,21,63,16
301_2,M,STANDARD,NA,3.57,10.71,2.72,21,63,16
301_3,M,STANDARD,NA,3.57,10.71,2.72,21,63,16
302_1,F,STANDARD,NA,3.57,10.71,2.72,21,63,16
302_2,F,STANDARD,NA,3.57,10.71,2.72,21,63,16
302_3,F,STANDARD,NA,3.57,10.71,2.72,21,63,16
101_1,M,SF09-045,15,10.2,3.4,3.4,60,20,20
101_2,M,SF09-045,118,10.2,3.4,3.4,60,20,20
101_3,M,SF09-045,101,10.2,3.4,3.4,60,20,20
102_1,F,SF09-045,107,10.2,3.4,3.4,60,20,20
102_2,F,SF09-045,NA,10.2,3.4,3.4,60,20,20
102_3,F,SF09-045,100,10.2,3.4,3.4,60,20,20
103_1,M,SF09-048,137,0.85,12.75,3.4,5,75,20
103_2,M,SF09-048,NA,0.85,12.75,3.4,5,75,20
103_3,M,SF09-048,96,0.85,12.75,3.4,5,75,20
104_1,F,SF09-048,104,0.85,12.75,3.4,5,75,20
104_2,F,SF09-048,32,0.85,12.75,3.4,5,75,20
104_3,F,SF09-048,113,0.85,12.75,3.4,5,75,20
105_1,M,SF09-051,108,0.85,3.4,12.75,5,20,75
105_2,M,SF09-051,32,0.85,3.4,12.75,5,20,75
105_3,M,SF09-051,100,0.85,3.4,12.75,5,20,75
106_1,F,SF09-051,134,0.85,3.4,12.75,5,20,75
106_2,F,SF09-051,26,0.85,3.4,12.75,5,20,75
106_3,F,SF09-051,NA,0.85,3.4,12.75,5,20,75
107_1,M,SF09-054,NA,5.61,8.16,3.4,33,48,20
107_2,M,SF09-054,NA,5.61,8.16,3.4,33,48,20
107_3,M,SF09-054,85,5.61,8.16,3.4,33,48,20
108_1,F,SF09-054,90,5.61,8.16,3.4,33,48,20
108_2,F,SF09-054,63,5.61,8.16,3.4,33,48,20
108_3,F,SF09-054,99,5.61,8.16,3.4,33,48,20
109_1,M,SF09-057,143,5.61,3.4,8.16,33,20,48
109_2,M,SF09-057,NA,5.61,3.4,8.16,33,20,48
109_3,M,SF09-057,131,5.61,3.4,8.16,33,20,48
110_1,F,SF09-057,107,5.61,3.4,8.16,33,20,48
110_2,F,SF09-057,NA,5.61,3.4,8.16,33,20,48
110_3,F,SF09-057,107,5.61,3.4,8.16,33,20,48
111_1,M,SF09-060,142,0.85,8.16,8.16,5,48,48
111_2,M,SF09-060,134,0.85,8.16,8.16,5,48,48
111_3,M,SF09-060,17,0.85,8.16,8.16,5,48,48
112_1,F,SF09-060,142,0.85,8.16,8.16,5,48,48
112_2,F,SF09-060,NA,0.85,8.16,8.16,5,48,48
112_3,F,SF09-060,141,0.85,8.16,8.16,5,48,48
113_1,M,SF09-063,127,2.38,4.93,9.69,14,29,57
113_2,M,SF09-063,NA,2.38,4.93,9.69,14,29,57
113_3,M,SF09-063,111,2.38,4.93,9.69,14,29,57
114_1,F,SF09-063,106,2.38,4.93,9.69,14,29,57
114_2,F,SF09-063,NA,2.38,4.93,9.69,14,29,57
114_3,F,SF09-063,97,2.38,4.93,9.69,14,29,57
115_1,M,SF09-066,116,2.38,9.69,4.93,14,57,29
115_2,M,SF09-066,NA,2.38,9.69,4.93,14,57,29
115_3,M,SF09-066,129,2.38,9.69,4.93,14,57,29
116_1,F,SF09-066,NA,2.38,9.69,4.93,14,57,29
116_2,F,SF09-066,NA,2.38,9.69,4.93,14,57,29
116_3,F,SF09-066,112,2.38,9.69,4.93,14,57,29
117_1,M,SF09-069,89,7.14,4.93,4.93,42,29,29
117_2,M,SF09-069,NA,7.14,4.93,4.93,42,29,29
117_3,M,SF09-069,100,7.14,4.93,4.93,42,29,29
118_1,F,SF09-069,9,7.14,4.93,4.93,42,29,29
118_2,F,SF09-069,152,7.14,4.93,4.93,42,29,29
118_3,F,SF09-069,143,7.14,4.93,4.93,42,29,29
119_1,M,SF09-072,26,3.91,6.46,6.46,23,38,38
119_2,M,SF09-072,134,3.91,6.46,6.46,23,38,38
119_3,M,SF09-072,118,3.91,6.46,6.46,23,38,38
120_1,F,SF09-072,NA,3.91,6.46,6.46,23,38,38
120_2,F,SF09-072,80,3.91,6.46,6.46,23,38,38
120_3,F,SF09-072,100,3.91,6.46,6.46,23,38,38
121_1,M,SF09-043,87,4.8,1.6,1.6,60,20,20
121_2,M,SF09-043,NA,4.8,1.6,1.6,60,20,20
121_3,M,SF09-043,83,4.8,1.6,1.6,60,20,20
122_1,F,SF09-043,71,4.8,1.6,1.6,60,20,20
122_2,F,SF09-043,NA,4.8,1.6,1.6,60,20,20
122_3,F,SF09-043,84,4.8,1.6,1.6,60,20,20
123_1,M,SF09-046,NA,0.4,6,1.6,5,75,20
123_2,M,SF09-046,NA,0.4,6,1.6,5,75,20
123_3,M,SF09-046,NA,0.4,6,1.6,5,75,20
124_1,F,SF09-046,NA,0.4,6,1.6,5,75,20
124_2,F,SF09-046,NA,0.4,6,1.6,5,75,20
124_3,F,SF09-046,NA,0.4,6,1.6,5,75,20
125_1,M,SF09-052,106,2.64,3.84,1.6,33,48,20
125_2,M,SF09-052,NA,2.64,3.84,1.6,33,48,20
125_3,M,SF09-052,109,2.64,3.84,1.6,33,48,20
126_1,F,SF09-052,113,2.64,3.84,1.6,33,48,20
126_2,F,SF09-052,NA,2.64,3.84,1.6,33,48,20
126_3,F,SF09-052,135,2.64,3.84,1.6,33,48,20
127_1,M,SF09-055,84,2.64,1.6,3.84,33,20,48
127_2,M,SF09-055,NA,2.64,1.6,3.84,33,20,48
127_3,M,SF09-055,NA,2.64,1.6,3.84,33,20,48
128_1,F,SF09-055,87,2.64,1.6,3.84,33,20,48
128_2,F,SF09-055,NA,2.64,1.6,3.84,33,20,48
128_3,F,SF09-055,90,2.64,1.6,3.84,33,20,48
129_1,M,SF09-061,88,1.12,2.32,4.56,14,29,57
129_2,M,SF09-061,NA,1.12,2.32,4.56,14,29,57
129_3,M,SF09-061,78,1.12,2.32,4.56,14,29,57
130_1,F,SF09-061,104,1.12,2.32,4.56,14,29,57
130_2,F,SF09-061,3,1.12,2.32,4.56,14,29,57
130_3,F,SF09-061,100,1.12,2.32,4.56,14,29,57
131_1,M,SF09-064,36,1.12,4.56,2.32,14,57,29
131_2,M,SF09-064,91,1.12,4.56,2.32,14,57,29
131_3,M,SF09-064,108,1.12,4.56,2.32,14,57,29
132_1,F,SF09-064,100,1.12,4.56,2.32,14,57,29
132_2,F,SF09-064,NA,1.12,4.56,2.32,14,57,29
132_3,F,SF09-064,98,1.12,4.56,2.32,14,57,29
133_1,M,SF09-067,85,3.36,2.32,2.32,42,29,29
133_2,M,SF09-067,NA,3.36,2.32,2.32,42,29,29
133_3,M,SF09-067,94,3.36,2.32,2.32,42,29,29
134_1,F,SF09-067,95,3.36,2.32,2.32,42,29,29
134_2,F,SF09-067,NA,3.36,2.32,2.32,42,29,29
134_3,F,SF09-067,86,3.36,2.32,2.32,42,29,29
135_1,M,SF09-070,84,1.84,3.04,3.04,23,38,38
135_2,M,SF09-070,NA,1.84,3.04,3.04,23,38,38
135_3,M,SF09-070,92,1.84,3.04,3.04,23,38,38
136_1,F,SF09-070,97,1.84,3.04,3.04,23,38,38
136_2,F,SF09-070,NA,1.84,3.04,3.04,23,38,38
136_3,F,SF09-070,94,1.84,3.04,3.04,23,38,38
137_1,M,SF09-044,111,7.8,2.6,2.6,60,20,20
137_2,M,SF09-044,NA,7.8,2.6,2.6,60,20,20
137_3,M,SF09-044,108,7.8,2.6,2.6,60,20,20
138_1,F,SF09-044,106,7.8,2.6,2.6,60,20,20
138_2,F,SF09-044,NA,7.8,2.6,2.6,60,20,20
138_3,F,SF09-044,110,7.8,2.6,2.6,60,20,20
139_1,M,SF09-047,163,0.65,9.75,2.6,5,75,20
139_2,M,SF09-047,NA,0.65,9.75,2.6,5,75,20
139_3,M,SF09-047,115,0.65,9.75,2.6,5,75,20
140_1,F,SF09-047,122,0.65,9.75,2.6,5,75,20
140_2,F,SF09-047,NA,0.65,9.75,2.6,5,75,20
140_3,F,SF09-047,110,0.65,9.75,2.6,5,75,20
141_1,M,SF09-053,133,4.29,6.24,2.6,33,48,20
141_2,M,SF09-053,NA,4.29,6.24,2.6,33,48,20
141_3,M,SF09-053,131,4.29,6.24,2.6,33,48,20
142_1,F,SF09-053,114,4.29,6.24,2.6,33,48,20
142_2,F,SF09-053,NA,4.29,6.24,2.6,33,48,20
142_3,F,SF09-053,111,4.29,6.24,2.6,33,48,20
143_1,M,SF09-056,94,4.29,2.6,6.24,33,20,48
143_2,M,SF09-056,NA,4.29,2.6,6.24,33,20,48
143_3,M,SF09-056,86,4.29,2.6,6.24,33,20,48
144_1,F,SF09-056,97,4.29,2.6,6.24,33,20,48
144_2,F,SF09-056,NA,4.29,2.6,6.24,33,20,48
144_3,F,SF09-056,91,4.29,2.6,6.24,33,20,48
145_1,M,SF09-059,NA,0.65,6.24,6.24,5,48,48
145_2,M,SF09-059,NA,0.65,6.24,6.24,5,48,48
145_3,M,SF09-059,NA,0.65,6.24,6.24,5,48,48
146_1,F,SF09-059,NA,0.65,6.24,6.24,5,48,48
146_2,F,SF09-059,NA,0.65,6.24,6.24,5,48,48
