ID,sex,diet,ageatdeath_w,P_kJ.g,C_kJ.g,F_kJ.g,p_P,p_C,p_F
1_1,M,SF09-043,NA,4.8,1.6,1.6,60,20,20
1_2,M,SF09-043,NA,4.8,1.6,1.6,60,20,20
1_3,M,SF09-043,103,4.8,1.6,1.6,60,20,20
2_1,F,SF09-043,103,4.8,1.6,1.6,60,20,20
2_2,F,SF09-043,NA,4.8,1.6,1.6,60,20,20
2_3,F,SF09-043,103,4.8,1.6,1.6,60,20,20
3_1,M,SF09-046,NA,0.4,6,1.6,5,75,20
3_2,M,SF09-046,NA,0.4,6,1.6,5,75,20
3_3,M,SF09-046,NA,0.4,6,1.6,5,75,20
4_1,F,SF09-046,NA,0.4,6,1.6,5,75,20
4_2,F,SF09-046,NA,0.4,6,1.6,5,75,20
4_3,F,SF09-046,NA,0.4,6,1.6,5,75,20
5_1,M,SF09-049,NA,0.4,1.6,6,5,20,75
5_2,M,SF09-049,NA,0.4,1.6,6,5,20,75
5_3,M,SF09-049,NA,0.4,1.6,6,5,20,75
